,weather_main,weather,wind
618,dry,Cloudy with temperatures approaching 20 °C (68 °F);,False
619,nan,,False
620,dry,"Sunny, Hot, Dry",False
621,nan,,False
622,wet,Wet,False
623,nan,,False
624,nan,,False
625,dry,"Warm, dry",False
626,nan,,False
627,dry,"Sunny, hot",False
628,dry,Dry and sunny,False
629,dry,Mild with temperatures approaching 22.8 °C (73.0 °F); wind speeds up to 12 kilometres per hour (7.5 mph),False
630,changing,"Sunny at start, brief showers late",False
631,dry,"Sunny, Hot, Dry",False
632,dry,"Sunny, Hot, Dry",False
633,dry,Overcast,False
634,wet,Wet,False
635,nan,,False
